Equipo,Ciudad,Estadio,Liga,region,Año_fundacion,Años_cantidad
Deportivo Acapulco,Tumán,Estadio Eugenio Zapata Mingoya,Copa Perú,Lambayeque,1987.0,37.0
Deportivo Cachorro,Motupe,Estadio Sebastián Vilela Purihuamán,Copa Perú,Lambayeque,1964.0,60.0
Deportivo Cañaña,Lambayeque,Estadio César Flores Marigorda,Copa Perú,Lambayeque,1980.0,44.0
Deportivo Chancay,Lambayeque,Estadio Eugenio Zapata Mingoya,Copa Perú,Lambayeque,1948.0,76.0
Deportivo Cruz de Chalpón,Motupe,Estadio Sebastián Vilela Purihuamán,Copa Perú,Lambayeque,1949.0,75.0
Deportivo Cultural,Salas,Estadio Municipal de Salas,Copa Perú,Lambayeque,1957.0,67.0
Deportivo Municipal Túcume,Túcume,Estadio Federico Villarreal,Copa Perú,Lambayeque,1970.0,54.0
Deportivo Pomalca,Pomalca,Estadio La Bombonera,Copa Perú,Lambayeque,1949.0,75.0
Diablos Rojos,Ferreñafe,Estadio Samame Cáceres,Copa Perú,Lambayeque,1941.0,83.0
Diego Ferré,Reque,Estadio Municipal de Reque,Copa Perú,Lambayeque,1954.0,70.0
Dínamo FC,Chiclayo,Estadio Elías Aguirre,Copa Perú,Lambayeque,1950.0,74.0
Estudiantil Diego Ferré,Chiclayo,Estadio Elías Aguirre,Copa Perú,Lambayeque,1976.0,48.0
Flamengo FC,Chiclayo,Estadio Elías Aguirre,Copa Perú,Lambayeque,1965.0,59.0
Intocables FC,Ferreñafe,Estadio Samame Cáceres,Copa Perú,Lambayeque,1972.0,52.0
José Pardo,Tumán,Estadio Eugenio Zapata Mingoya,Copa Perú,Lambayeque,1920.0,104.0
Juan Aurich,Chiclayo,Estadio César Flores Marigorda,Segunda División,Lambayeque,1923.0,101.0
Juan Pardo y Miguel,Pátapo,Estadio Municipal de Pátapo,Copa Perú,Lambayeque,1961.0,63.0
Los Caimanes,Puerto Eten,Estadio César Flores Marigorda,Copa Perú,Lambayeque,1957.0,67.0
Mariscal Sucre,Ferreñafe,Estadio Samame Cáceres,Copa Perú,Lambayeque,1963.0,61.0
Olmos Club,Olmos,Estadio Francisco Mendoza Pizarro,Copa Perú,Lambayeque,1948.0,76.0
Palmeiras FBC,Ferreñafe,Estadio Samame Cáceres,Copa Perú,Lambayeque,1978.0,46.0
Pirata FC,José Leonardo Ortiz,Estadio Elías Aguirre,Segunda División,Lambayeque,2016.0,8.0
Proyecto Olmos,Olmos,Estadio Francisco Mendoza Pizarro,Copa Perú,Lambayeque,1974.0,50.0
San Juan,Pátapo,Estadio Municipal de Pátapo,Copa Perú,Lambayeque,1957.0,67.0
San Lorenzo,Chiclayo,Estadio Elías Aguirre,Copa Perú,Lambayeque,1928.0,96.0
San Lorenzo de Paredones,Chongoyape,Estadio Municipal de la Juventud,Copa Perú,Lambayeque,1945.0,79.0
Simón Bolívar,Pueblo Nuevo,Estadio Luciano Díaz Burga,Copa Perú,Lambayeque,1956.0,68.0
Sport Gloria,Chiclayo,Estadio Elías Aguirre,Copa Perú,Lambayeque,1959.0,65.0
Sport Soriano,Lambayeque,Estadio Eugenio Zapata Mingoya,Copa Perú,Lambayeque,1959.0,65.0
Sport Victoria,Túcume,Estadio Federico Villarreal,Copa Perú,Lambayeque,1953.0,71.0
Tres Marías,Túcume,Estadio Federico Villarreal,Copa Perú,Lambayeque,2008.0,16.0
Unión Juventud,Mochumí,Estadio Municipal de Mochumí,Copa Perú,Lambayeque,1976.0,48.0
Unión Tumán,Tumán,Estadio Eugenio Zapata Mingoya,Copa Perú,Lambayeque,1956.0,68.0
Vasco de Gama,Olmos,Estadio Francisco Mendoza Pizarro,Copa Perú,Lambayeque,1955.0,69.0
AD Galaxie 901,Jesús María,Estadio Municipal de Jesús María,Copa Perú,Lima Metropolitana,1972.0,52.0
Águilas de América,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1960.0,64.0
Alianza Chorrillos,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1914.0,110.0
Alianza Huacoy,Carabayllo,Estadio Ricardo Palma,Copa Perú,Lima Metropolitana,1944.0,80.0
Alianza Lima,La Victoria,Estadio Alejandro Villanueva,Primera División,Lima Metropolitana,1901.0,123.0
Alianza Vitarte,Ate,Estadio Andrés Bedoya Díaz,Copa Perú,Lima Metropolitana,1918.0,106.0
Atlético Agricultor,Santiago de Surco,Estadio Julio Montjoy Guizado,Copa Perú,Lima Metropolitana,1933.0,91.0
Atlético Libertad,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1962.0,62.0
Atlético Perú,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1960.0,64.0
Atlético Salvador,Villa El Salvador,Estadio Iván Elías Moreno,Copa Perú,Lima Metropolitana,1972.0,52.0
Aurora Miraflores,Miraflores,Complejo Deportivo Manuel Bonilla,Copa Perú,Lima Metropolitana,1958.0,66.0
Barcelona Miramar,San Miguel,Estadio Adelfo Magallanes,Copa Perú,Lima Metropolitana,1953.0,71.0
Boca Junior,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1937.0,87.0
Carlos Moscoso,Surquillo,Estadio Carlos Moscoso,Copa Perú,Lima Metropolitana,1954.0,70.0
Ciclista Lima,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1897.0,127.0
Circolo Sportivo Italiano,San Isidro,Complejo de San Isidro,Copa Perú,Lima Metropolitana,1918.0,106.0
Ciclón Santa Rosa,Surquillo,Estadio Carlos Moscoso,Copa Perú,Lima Metropolitana,1941.0,83.0
Cooperativa Francisco Bolognesi,Barranco,Estadio Unión Barranco,Copa Perú,Lima Metropolitana,2005.0,19.0
Cultural 13 de Enero,San Juan de Miraflores,Estadio IPD,Copa Perú,Lima Metropolitana,1963.0,61.0
Cultural Géminis,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1968.0,56.0
Cultural Ñaña,Chaclacayo,Estadio Tahuantinsuyo,Copa Perú,Lima Metropolitana,1968.0,56.0
Cultural Progreso,El Agustino,Estadio Marcelino Ccayco Arone,Copa Perú,Lima Metropolitana,1974.0,50.0
Defensor 17 de Noviembre,Independencia,Estadio El Ermitaño,Copa Perú,Lima Metropolitana,1962.0,62.0
Defensor El Milagro,Independencia,Estadio El Ermitaño,Copa Perú,Lima Metropolitana,1969.0,55.0
Defensor Gonzales Prada,Rímac,Estadio de la UNI,Copa Perú,Lima Metropolitana,1987.0,37.0
Defensor Guadalupe,El Agustino,Estadio Marcelino Ccayco Arone,Copa Perú,Lima Metropolitana,1966.0,58.0
Defensor Lima,Breña,GUE Mariano Melgar,Copa Perú,Lima Metropolitana,1932.0,92.0
Deportivo AELU,Pueblo Libre,Estadio La Unión,Copa Perú,Lima Metropolitana,1983.0,41.0
Deportivo E.T.E.,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1981.0,43.0
Deportivo La Cantuta,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1957.0,67.0
Deportivo Municipal,Lima,Estadio Iván Elías Moreno,Segunda División,Lima Metropolitana,1936.0,88.0
Deportivo Municipal de Chorrillos,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1949.0,75.0
Deportivo Piérola,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1963.0,61.0
Deportivo Racing,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1956.0,68.0
Deportivo San Marcos,Lima,Estadio de la UNMSM,Copa Perú,Lima Metropolitana,2013.0,11.0
Deportivo Torino,Breña,GUE Mariano Melgar,Copa Perú,Lima Metropolitana,1954.0,70.0
DIM,Miraflores,Complejo Deportivo Manuel Bonilla,Copa Perú,Lima Metropolitana,1984.0,40.0
Estrella Roja de Huáscar,Santa Anita,Estadio Municipal Santa Anita,Copa Perú,Lima Metropolitana,1976.0,48.0
Estrella Vitarte,Ate,Estadio Andrés Bedoya Díaz,Copa Perú,Lima Metropolitana,1940.0,84.0
FC Furygangs,Huaycán,Estadio Tadeo Pasini,Copa Perú,Lima Metropolitana,2002.0,22.0
Francisco Bolognesi,Puente Piedra,Estadio Municipal de Puente Piedra,Copa Perú,Lima Metropolitana,1916.0,108.0
Fraternal Barranco,Barranco,Estadio Unión de Barranco,Copa Perú,Lima Metropolitana,1915.0,109.0
Fraternal Santa Clara,Ate,Estadio Andrés Bedoya Díaz,Copa Perú,Lima Metropolitana,1956.0,68.0
Guardia Republicana,La Molina,Estadio Municipal de La Molina,Copa Perú,Lima Metropolitana,1982.0,42.0
Huracán Boys,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1960.0,64.0
Huracán Chorrillos,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1955.0,69.0
Huracán Magdalena,Magdalena del Mar,Estadio Adelfo Magallanes,Copa Perú,Lima Metropolitana,1953.0,71.0
Independiente de Deportes,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1928.0,96.0
Independiente Nueva Lima,La Victoria,Estadio Ricardo Bentín,Copa Perú,Lima Metropolitana,1958.0,66.0
Independiente San Antonio,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1964.0,60.0
Independiente San Felipe,Carabayllo,Estadio Ricardo Palma,Copa Perú,Lima Metropolitana,1976.0,48.0
Ingenio Puente Piedra,Puente Piedra,Estadio Municipal de Puente Piedra,Copa Perú,Lima Metropolitana,1919.0,105.0
Íntimo Cable Visión,Ate,Estadio Andrés Bedoya Díaz,Copa Perú,Lima Metropolitana,2006.0,18.0
Juventud América,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1964.0,60.0
Juventud Apurímac,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1962.0,62.0
Juventud Barranco,Barranco,Estadio Unión Barranco,Copa Perú,Lima Metropolitana,1929.0,95.0
Juventud Comas,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1960.0,64.0
Juventud Gloria,San Martín de Porres,Complejo Deportivo Mayta Cápac,Copa Perú,Lima Metropolitana,1923.0,101.0
Juventud Ideal FC,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1969.0,55.0
Juventud La Rural,Santiago de Surco,Estadio Julio Montjoy Guizado,Copa Perú,Lima Metropolitana,1946.0,78.0
Juventud Lurín,Lurín,Estadio Guadulfo Silva Carbajal,Copa Perú,Lima Metropolitana,1913.0,111.0
Juventud Moyopampa,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1943.0,81.0
Juventud Musa,La Molina,Estadio Municipal de La Molina,Copa Perú,Lima Metropolitana,1975.0,49.0
Juventud Primavera,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1961.0,63.0
Juventud Zela,San Miguel,Estadio Adelfo Magallanes,Copa Perú,Lima Metropolitana,1970.0,54.0
Lawn Tennis Chosica,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1938.0,86.0
Lima Cricket,San Isidro,Complejo Villa Deportiva,Copa Perú,Lima Metropolitana,1859.0,165.0
Marinero Robles,Ancón,Estadio José Balta,Copa Perú,Lima Metropolitana,1945.0,79.0
Mariscal Sucre,La Victoria,Estadio Ricardo Bentín,Copa Perú,Lima Metropolitana,1926.0,98.0
Nicolás de Piérola,Carabayllo,Estadio Ricardo Palma,Copa Perú,Lima Metropolitana,1977.0,47.0
Once Amigos,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1955.0,69.0
Once Estrellas,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1946.0,78.0
Pacífico,San Martín de Porres,Complejo Deportivo Mayta Cápac,Copa Perú,Lima Metropolitana,1960.0,64.0
Puerto Chala,Lince,Colegio Melitón Carbajal,Copa Perú,Lima Metropolitana,1957.0,67.0
Real Atocongo,Pachacámac,Estadio Municipal de Pachacámac,Copa Perú,Lima Metropolitana,1963.0,61.0
Real Olímpico,San Martín de Porres,Complejo Deportivo Mayta Cápac,Copa Perú,Lima Metropolitana,1960.0,64.0
Real Tahuantinsuyo,Independencia,Estadio El Ermitaño,Copa Perú,Lima Metropolitana,1964.0,60.0
Real Unión,Villa María del Triunfo,Estadio Héctor Chumpitaz,Copa Perú,Lima Metropolitana,1983.0,41.0
Regatas Lima,San Isidro,Complejo de San Isidro,Copa Perú,Lima Metropolitana,1875.0,149.0
San Agustín,Lince,Colegio Melitón Carbajal,Copa Perú,Lima Metropolitana,1971.0,53.0
San Cristóbal,San Bartolo,Estadio Municipal de San Bartolo,Copa Perú,Lima Metropolitana,1955.0,69.0
San Simón,Magdalena del Mar,Estadio Municipal de Magdalena,Copa Perú,Lima Metropolitana,1983.0,41.0
Santiago Barranco,Barranco,Estadio Unión de Barranco,Copa Perú,Lima Metropolitana,1930.0,94.0
Social FBC,Barranco,Estadio Unión de Barranco,Copa Perú,Lima Metropolitana,1976.0,48.0
Somos Olímpico,Santiago de Surco,Estadio Julio Montjoy Guizado,Copa Perú,Lima Metropolitana,2008.0,16.0
Sport Agustino,El Agustino,Estadio Marcelino Ccayco Arone,Copa Perú,Lima Metropolitana,1938.0,86.0
Sport Asociación Agrícola,La Molina,Estadio Municipal de La Molina,Copa Perú,Lima Metropolitana,1930.0,94.0
Sport Bengala,Canto Grande,Estadio José Carlos Mariategui,Copa Perú,Lima Metropolitana,1981.0,43.0
Sport Cobresol,San Borja,Polideportivo Limatambo,Copa Perú,Lima Metropolitana,2013.0,11.0
Sport Estrella,Ate,Estadio Andrés Bedoya Díaz,Copa Perú,Lima Metropolitana,1906.0,118.0
Sport Unión Santa Rosa,Lurín,Estadio Julio César Tello,Copa Perú,Lima Metropolitana,1983.0,41.0
Sport Vitarte,Ate,Estadio Andrés Bedoya Díaz,Copa Perú,Lima Metropolitana,1904.0,120.0
Sporting Cristal,Rímac,Estadio Alberto Gallardo,Primera División,Lima Metropolitana,1956.0,68.0
Sporting Ermitaño,Independencia,Estadio El Ermitaño,Copa Perú,Lima Metropolitana,1963.0,61.0
Sporting Estudiantil,Breña,GUE Mariano Melgar,Copa Perú,Lima Metropolitana,1950.0,74.0
U de América,San Luis,Estadio Municipal de San Luis,Copa Perú,Lima Metropolitana,1980.0,44.0
Unión Buenos Aires,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1924.0,100.0
Unión Buenos Aires de Villa,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1960.0,64.0
Universidad San Martín,Santa Anita,Estadio Alberto Gallardo,Segunda División,Lima Metropolitana,2004.0,20.0
Universitario,Breña,Estadio Monumental,Primera División,Lima Metropolitana,1925.0,99.0
Virgen de Chapi FC,Santa Anita,Estadio Municipal de Santa Anita,Copa Perú,Lima Metropolitana,1993.0,31.0
White Star,Jesús María,Estadio Municipal Campo de Marte,Copa Perú,Lima Metropolitana,1927.0,97.0
Aipsa FC,Paramonga,Alejandro Gonzales,Copa Perú,Lima Región,2003.0,21.0
Alfonso Ugarte de Cerro La Culebra,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1942.0,82.0
Alfonso Ugarte,Chilca,Municipal de Chilca,Copa Perú,Lima Región,1938.0,86.0
Alianza Antenor Rizo Patrón,Cañete,Roberto Yáñez,Copa Perú,Lima Región,1948.0,76.0
Alianza Aurora,Barranca,Municipal de Barranca,Copa Perú,Lima Región,1936.0,88.0
Alianza Francisco Bolognesi,Chilca,Municipal de Chilca,Copa Perú,Lima Región,1924.0,100.0
Alianza Humaya,Huaura,Manuel Fumagalli,Copa Perú,Lima Región,1931.0,93.0
Alianza Las Salinas,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1949.0,75.0
Alianza Mala,Mala,Municipal de Mala,Copa Perú,Lima Región,1914.0,110.0
Alianza Quepepampa,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1927.0,97.0
Alianza San Mateo,San Mateo,Municipal de San Mateo,Copa Perú,Lima Región,1930.0,94.0
Association F.B.C.,Huarochirí,Santa Cruz,Copa Perú,Lima Región,1921.0,103.0
Atlético Chalaco,Cañete,Roberto Yáñez,Copa Perú,Lima Región,1948.0,76.0
Atlético Condoray,Lunahuaná,Municipal de Lunahuaná,Copa Perú,Lima Región,1936.0,88.0
Atlético Huacho,Huacho,Segundo Aranda Torres,Copa Perú,Lima Región,1916.0,108.0
Atlético Minero,Chicla,Municipal de Matucana,Copa Perú,Lima Región,1998.0,26.0
Atlético Racing,Hualmay,Municipal de Hualmay,Copa Perú,Lima Región,1930.0,94.0
Atlético Soledad,Paramonga,Alejandro Gonzales,Copa Perú,Lima Región,1963.0,61.0
Aurora Chancayllo,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1932.0,92.0
Bella Esperanza,Cerro Azul,Municipal de Cerro Azul,Copa Perú,Lima Región,1915.0,109.0
Benfica de Pariamarca,Canta,Municipal de Canta,Copa Perú,Lima Región,1971.0,53.0
Benjamín Vizquerra,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1962.0,62.0
Benjamín Vizquerra,Aucallama,Julio Lores Colán,Copa Perú,Lima Región,1942.0,82.0
CAP Jesús del Valle,Huaral,Julio Lores Colán,Copa Perú,Lima Región,1975.0,49.0
Centro Humanitario Sport Victoria,Végueta,Eleodoro Medina García,Copa Perú,Lima Región,1924.0,100.0
Centro Social Deportivo Huaura,Huaura,Manuel Fumagalli,Copa Perú,Lima Región,1932.0,92.0
Centro Social Huarosino,Huaros,Municipal de Canta,Copa Perú,Lima Región,1940.0,84.0
Circolo Sportivo Paramonga,Paramonga,Alejandro Gonzales,Copa Perú,Lima Región,1934.0,90.0
Círculo Deportivo Cruz Blanca,Santa María,Marcial Villanueva,Copa Perú,Lima Región,1950.0,74.0
Círculo Deportivo Sucre,Imperial,Óscar Ramos Cabieses,Copa Perú,Lima Región,1975.0,49.0
Cristal Supe Puerto,Supe Puerto,Municipal de Supe Puerto,Copa Perú,Lima Región,1956.0,68.0
Cultural 17 de Febrero,San Antonio,Eloy Soriano,Copa Perú,Lima Región,1948.0,76.0
Cultural Palestino,Quilmaná,Municipal de Quilmaná,Copa Perú,Lima Región,1958.0,66.0
Cultural Tarapacá,Végueta,Eleodoro Medina García,Copa Perú,Lima Región,1945.0,79.0
Defensor Amay,Huacho,Segundo Aranda Torres,Copa Perú,Lima Región,1963.0,61.0
Defensor Campo Alegre,Hualmay,Municipal de Hualmay,Copa Perú,Lima Región,1975.0,49.0
Defensor Cantagallo,Imperial,Óscar Ramos Cabieses,Copa Perú,Lima Región,1968.0,56.0
Defensor Carhua,Canta,Municipal de Canta,Copa Perú,Lima Región,1992.0,32.0
Defensor Cerro Alegre,Imperial,Óscar Ramos Cabieses,Copa Perú,Lima Región,1956.0,68.0
Defensor Chanana,Pativilca,Simón Rodríguez,Copa Perú,Lima Región,1971.0,53.0
Defensor Gráfico,Supe,Edgardo Reyes Bolívar,Copa Perú,Lima Región,1954.0,70.0
Defensor Huampará,Huampará,Municipal de Yauyos,Copa Perú,Lima Región,1966.0,58.0
Defensor Laure Sur,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1961.0,63.0
Defensor Los Tilos,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1989.0,35.0
Defensor Miramar,Huacho,Segundo Aranda Torres,Copa Perú,Lima Región,1953.0,71.0
Defensor Quilmaná,Quilmaná,Municipal de Quilmaná,Copa Perú,Lima Región,1963.0,61.0
Defensor Saenz Peña,Barranca,Municipal de Barranca,Copa Perú,Lima Región,1964.0,60.0
Defensor San Nicolás,Supe,Edgardo Reyes Bolívar,Copa Perú,Lima Región,1981.0,43.0
Defensor Tamará,Omas,Municipal de Yauyos,Copa Perú,Lima Región,1963.0,61.0
Deportivo Bellavista,Santa María,Marcial Villanueva,Copa Perú,Lima Región,1940.0,84.0
Deportivo Caujul,Caujul,Ucrucocha,Copa Perú,Lima Región,1939.0,85.0
Deportivo Coopsol,Chancay,Rómulo Shaw Cisneros,Segunda División,Lima Región,2004.0,20.0
Deportivo Cosmos,Barranca,Municipal de Barranca,Copa Perú,Lima Región,1985.0,39.0
Deportivo El Potao,Barranca,Municipal de Barranca,Copa Perú,Lima Región,1979.0,45.0
Deportivo Huracán de Trapiche,Santa Rosa de Quives,San Antonio,Copa Perú,Lima Región,2010.0,14.0
Deportivo Maristas,Huacho,Segundo Aranda Torres,Copa Perú,Lima Región,2004.0,20.0
Deportivo Municipal de Amay,Huacho,Segundo Aranda Torres,Copa Perú,Lima Región,1938.0,86.0
Deportivo Municipal de Chancay,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1951.0,73.0
Deportivo Municipal de Coayllo,Coayllo,Héctor Chumpitaz,Copa Perú,Lima Región,1945.0,79.0
Deportivo Municipal de Mala,Mala,Municipal de Mala,Copa Perú,Lima Región,1959.0,65.0
Deportivo Municipal del Mazo,Végueta,Eleodoro Medina García,Copa Perú,Lima Región,1941.0,83.0
Deportivo Olímpico,Santa María,Marcial Villanueva,Copa Perú,Lima Región,1964.0,60.0
Deportivo Pacífico,Mala,Municipal de Mala,Copa Perú,Lima Región,1946.0,78.0
Deportivo Palpa,Aucallama,Julio Lores Colán,Copa Perú,Lima Región,1940.0,84.0
Deportivo Pirata,Santa María,Marcial Villanueva,Copa Perú,Lima Región,1963.0,61.0
Deportivo San Juan,Végueta,Eleodoro Medina García,Copa Perú,Lima Región,1918.0,106.0
Deportivo Terry,Huacho,Segundo Aranda Torres,Copa Perú,Lima Región,1959.0,65.0
Eleven Boys,Barbablanca,Municipal de Matucana,Copa Perú,Lima Región,1957.0,67.0
Estudiantes Unidos,Ayaviri,Municipal de Yauyos,Copa Perú,Lima Región,1983.0,41.0
Estudiantes Unidos,Tomas,Municipal de Yauyos,Copa Perú,Lima Región,1957.0,67.0
Estudiantil Luriama,Santa María,Marcial Villanueva,Copa Perú,Lima Región,1952.0,72.0
Francisco Bolognesi de Chonta,Santa María,Marcial Villanueva,Copa Perú,Lima Región,1923.0,101.0
Fortuna de Amay,Huacho,Segundo Aranda Torres,Copa Perú,Lima Región,1932.0,92.0
Héroes de la Breña,Huarochirí,Santa Cruz,Copa Perú,Lima Región,1911.0,113.0
Independiente Cerro Blanco,Paramonga,Alejandro Gonzales,Copa Perú,Lima Región,1941.0,83.0
Independiente de Cañete,Cañete,Roberto Yáñez,Copa Perú,Lima Región,1939.0,85.0
Independiente Huampará,Huampará,Municipal de Yauyos,Copa Perú,Lima Región,1959.0,65.0
Independiente Rontoy,Huaura,Manuel Fumagalli,Copa Perú,Lima Región,1952.0,72.0
Jorge Chávez,Huaura,Manuel Fumagalli,Copa Perú,Lima Región,1914.0,110.0
José Correa,Paramonga,Alejandro Gonzales,Copa Perú,Lima Región,1945.0,79.0
José de San Martín,Huaura,Manuel Fumagalli,Copa Perú,Lima Región,1914.0,110.0
José de San Martín,Végueta,Eleodoro Medina García,Copa Perú,Lima Región,1935.0,89.0
José Olaya,Barranca,Municipal de Barranca,Copa Perú,Lima Región,1922.0,102.0
José Olaya de Chambara,Sayán,San Nicolás de Tolentino,Copa Perú,Lima Región,1983.0,41.0
Juvenil Deportivo América,Sayán,San Nicolás de Tolentino,Copa Perú,Lima Región,1961.0,63.0
Juvenil Independiente,Sayán,Municipal de Sayán,Copa Perú,Lima Región,1943.0,81.0
Juventud 2001 Chancayllo,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1979.0,45.0
Juventud Barranco,Huacho,Segundo Aranda Torres,Copa Perú,Lima Región,1963.0,61.0
Juventud Chiu Chiu,Barranca,Municipal de Barranca,Copa Perú,Lima Región,1980.0,44.0
Juventud Cruz de Chonta,Santa María,Marcial Villanueva,Copa Perú,Lima Región,1976.0,48.0
Juventud Gloria de Quepepampa,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1959.0,65.0
Juventud Huracán,Supe,Edgardo Reyes Bolívar,Copa Perú,Lima Región,1982.0,42.0
Juventud La Esperanza,Hualmay,Municipal de Hualmay,Copa Perú,Lima Región,1966.0,58.0
Juventud La Palma,Huacho,Segundo Aranda Torres,Copa Perú,Lima Región,1951.0,73.0
Juventud Lauriama,Barranca,Municipal de Barranca,Copa Perú,Lima Región,1934.0,90.0
Juventud Miguel Grau,Chilca,Municipal de Chilca,Copa Perú,Lima Región,1939.0,85.0
Juventud Milagro,Pativilca,Simón Rodriguez,Copa Perú,Lima Región,1932.0,92.0
Juventud Milagro,Santa María,Marcial Villanueva,Copa Perú,Lima Región,1958.0,66.0
Juventud Pacífico,Supe,Edgardo Reyes Bolívar,Copa Perú,Lima Región,1963.0,61.0
Juventud San Antonio,San Antonio,Eloy Soriano,Copa Perú,Lima Región,1934.0,90.0
Juventud San Mateo,San Mateo,Municipal de San Mateo,Copa Perú,Lima Región,1944.0,80.0
Juventud Torre Blanca,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1929.0,95.0
Juventud Unión Bienestar,Hualmay,Municipal de Hualmay,Copa Perú,Lima Región,1953.0,71.0
Juventud Unión Progreso,Santa María,Marcial Villanueva,Copa Perú,Lima Región,1929.0,95.0
Juventud Victoria,Supe Puerto,Municipal de Supe Puerto,Copa Perú,Lima Región,1934.0,90.0
Lolo Fernández,Huayto,Municipal de Huayto,Copa Perú,Lima Región,1954.0,70.0
Los Caimanes,Oyón,Municipal de Pulliagpuquio,Copa Perú,Lima Región,1987.0,37.0
Mariscal Sucre,Huaura,Manuel Fumagalli,Copa Perú,Lima Región,1946.0,78.0
Miguel Grau,Supe Puerto,Municipal de Supe Puerto,Copa Perú,Lima Región,1983.0,41.0
Nicolás de Piérola,Huacho,Segundo Aranda Torres,Copa Perú,Lima Región,1979.0,45.0
Norte Peralvillo,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1970.0,54.0
Once Amigos,Hualmay,Municipal de Hualmay,Copa Perú,Lima Región,1956.0,68.0
Once Amigos,Supe,Edgardo Reyes Bolívar,Copa Perú,Lima Región,1944.0,80.0
Peñarol de Chancayllo,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1952.0,72.0
Peñarol de Ichoca,Matucana,Municipal de Matucana,Copa Perú,Lima Región,1920.0,104.0
Porteño FBC,Huacho,Segundo Aranda Torres,Copa Perú,Lima Región,1918.0,106.0
Porvenir Miraflores,Paramonga,Alejandro Gonzales,Copa Perú,Lima Región,1958.0,66.0
Racing Huando,Huaral,Julio Lores Colán,Copa Perú,Lima Región,1959.0,65.0
Real Independiente,Santa María,Marcial Villanueva,Copa Perú,Lima Región,1929.0,95.0
San Cristóbal,Huacho,Segundo Aranda Torres,Copa Perú,Lima Región,1939.0,85.0
San Lorenzo de Hualmay,Hualmay,Municipal de Hualmay,Copa Perú,Lima Región,1936.0,88.0
San Lorenzo de Porococha,Mala,Municipal de Mala,Copa Perú,Lima Región,1977.0,47.0
Santa Rosa de Caldera,Huaura,Manuel Fumagalli,Copa Perú,Lima Región,1957.0,67.0
Santa Rosa de La Quincha,Huaral,Julio Lores Colán,Copa Perú,Lima Región,1973.0,51.0
Santa Rosa de Quisque,Coayllo,Héctor Chumpitaz,Copa Perú,Lima Región,1939.0,85.0
Social Gloria,Santa María,Marcial Villanueva,Copa Perú,Lima Región,1942.0,82.0
Social Huando,Huaral,Julio Lores Colán,Copa Perú,Lima Región,1950.0,74.0
Social La Huaca,Huaral,Julio Lores Colán,Copa Perú,Lima Región,1953.0,71.0
Social Marítimo,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1937.0,87.0
